date,code,company,businessViews,secondaryTags,fallbackFlags,readDecision,score,evidenceLevel,numbers,businessAction,followTarget,title,url,announcementId,hasText,textChars,evidenceSnippet
2026-06-11,001299,美能能源,股东服务、治理关系,增持、董监高变动,数字异常事项、关联交易/复杂交易,必须精读,100,PDF正文数字已核验,10.82%、71.00%,跟踪开户、减持路径、质押风险、股东资金安排和财富管理触达。,控股股东 / 5%以上股东 / 董秘办,关于实际控制人、董事长增持公司股份计划的公告,https://static.cninfo.com.cn/finalpage/2026-06-11/1225362888.PDF,1225362888,是,1654,美能能源公告编号：2026-039陕西美能清洁能源集团股份有限公司关于实际控制人、董事长增持公司股份计划的公告特别提示：基于对陕西美能清洁能源集团股份有限公司（以下简称“公司”）未来发展前景的坚定信心、对公司长期投资价值及内在价值的高度认可 / 简称：美能能源公告编号：2026-039陕西美能清洁能源集团股份有限公司关于实际控制人、董事长增持公司股份计划的公告特别提示：基于对陕西美能清洁能源集团股份有限公司（以下简称“公司”）未来发展前景的坚定信心、对公司长期投资价值及内在价值的高度
2026-06-10,688550,瑞联新材,激励与员工,股权激励、授予/归属、作废/回购注销,数字异常事项、关联交易/复杂交易,必须精读,93,PDF正文数字已核验,100%、50%,跟踪授予、归属、行权、员工账户、行权资金和股份支付费用。,董秘办 / 人力资源 / 财务负责人 / 激励对象服务团队,关于作废部分2024年限制性股票激励计划已授予尚未归属的第二类限制性股票的公告,https://static.cninfo.com.cn/finalpage/2026-06-10/1225360692.PDF,1225360692,是,3949,简称：瑞联新材公告编号：2026-035西安瑞联新材料股份有限公司关于作废部分2024年限制性股票激励计划已授予尚未归属的第二类限制性股票的公告本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述或者重大遗漏，并对其内容的真实性、准 / 号：2026-035西安瑞联新材料股份有限公司关于作废部分2024年限制性股票激励计划已授予尚未归属的第二类限制性股票的公告本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述或者重大遗漏，并对其内容的真实性、准确性和完整性依
2026-06-10,003009,中天火箭,股东服务,减持、权益变动,数字异常事项、关联交易/复杂交易,必须精读,85,PDF正文数字已核验,5%、30.80%、13.59%、6.38%、3.27%、1.92%、1.28%、57.24%,跟踪开户、减持路径、质押风险、股东资金安排和财富管理触达。,控股股东 / 5%以上股东 / 董秘办,陕西中天火箭技术股份有限公司关于持股5%以上股东及其一致行动人减持股份预披露的公告,https://static.cninfo.com.cn/finalpage/2026-06-10/1225360241.PDF,1225360241,是,3128,公告编号：2026-061陕西中天火箭技术股份有限公司关于持股5%以上股东及其一致行动人减持股份的预披露公告公司持股5%以上一致行动人股东陕西电器研究所及其国华军民融合产业发展基金(有限合伙)、陕西航天科技集团有限公司保证向公司提供的信息内 / ：中天火箭公告编号：2026-061陕西中天火箭技术股份有限公司关于持股5%以上股东及其一致行动人减持股份的预披露公告公司持股5%以上一致行动人股东陕西电器研究所及其国华军民融合产业发展基金(有限合伙)、陕西航天科技集团有限公司保证向公司提供的
2026-06-11,688167,炬光科技,治理关系,董监高变动、章程治理,数字异常事项、关联交易/复杂交易、低价值固定披露,必须精读,85,PDF正文数字已核验,12.88%、5%,更新关键联系人，关注治理结构、章程制度和后续资本市场沟通口径。,董秘办 / 证券事务代表 / 财务负责人 / 管理层,西安炬光科技股份有限公司关于独立董事任期满六年辞职暨选举独立董事及审计委员会成员的公告,https://static.cninfo.com.cn/finalpage/2026-06-11/1225363550.PDF,1225363550,是,2792,券简称：炬光科技公告编号：2026-045西安炬光科技股份有限公司关于独立董事任期满六年辞职暨选举独立董事及审计委员会成员的公告本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述或者重大遗漏，并对其内容的真实性、准确性和完整 / 码：688167证券简称：炬光科技公告编号：2026-045西安炬光科技股份有限公司关于独立董事任期满六年辞职暨选举独立董事及审计委员会成员的公告本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述或者重大遗漏，并对其内容的真实性
2026-06-10,688550,瑞联新材,激励与员工,股权激励、授予/归属,数字异常事项、关联交易/复杂交易,必须精读,85,PDF正文数字已核验,25%、30%、40%、100%、50%、0%,跟踪授予、归属、行权、员工账户、行权资金和股份支付费用。,董秘办 / 人力资源 / 财务负责人 / 激励对象服务团队,关于2024年限制性股票激励计划首次授予部分第二个归属期及预留授予部分第一个归属期符合归属条件的公告,https://static.cninfo.com.cn/finalpage/2026-06-10/1225360660.PDF,1225360660,是,13893,50证券简称：瑞联新材公告编号：2026-036西安瑞联新材料股份有限公司关于2024年限制性股票激励计划首次授予部分第二个归属期及预留授予部分第一个归属期符合归属条件的公告本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述或者重 / 公告编号：2026-036西安瑞联新材料股份有限公司关于2024年限制性股票激励计划首次授予部分第二个归属期及预留授予部分第一个归属期符合归属条件的公告本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述或者重大遗漏，并对其内
2026-06-10,302132,中航成飞,资金与财务,关联资金,数字异常事项、关联交易/复杂交易、低价值固定披露,必须精读,77,PDF正文数字已核验,"26日、10日、1.7037%、0.0050%、1.6987%、40,860,254股、89.7543%、4,589,333股",跟踪现金管理、融资安排、担保敞口、授信和资金沉淀机会。,财务负责人 / 资金部 / 董秘办,2026年第三次临时股东会决议公告,https://static.cninfo.com.cn/finalpage/2026-06-10/1225363243.PDF,1225363243,是,1717,票相结合的表决方式，审议通过了以下决议：1.以普通决议审议通过《关于公司2026年度日常关联交易预计的议案》本议案涉及公司与实际控制人中国航空工业集团有限公司及其控制的下属企业之间的关联交易，关联股东未出席本次会议，故不涉及关联股东回避表决情况
2026-06-10,600706,曲江文旅,资金与财务,关联资金,长文档待精读、数字异常事项、关联交易/复杂交易,必须精读,77,PDF正文数字已核验,45.38%、24.8%、11.13%、18.24%、18%、3.5%、68.9%、23.3%,跟踪现金管理、融资安排、担保敞口、授信和资金沉淀机会。,财务负责人 / 资金部 / 董秘办,西安曲江文化旅游股份有限公司2025年年度股东会会议资料,https://static.cninfo.com.cn/finalpage/2026-06-10/1225361568.PDF,1225361568,是,35181,摘要32公司2025年度董事会工作报告43公司2025年度利润分配议案164公司关于日常关联交易的议案175公司关于提请股东会授权董事会决定借款事项的议案246关于公司未弥补亏损达实收股本总额三分之一的议案257听取《公司董事会审计委员会202
2026-06-11,688167,炬光科技,治理关系,章程治理,数字异常事项、关联交易/复杂交易,必须精读,77,PDF正文数字已核验,1%、5%,更新关键联系人，关注治理结构、章程制度和后续资本市场沟通口径。,董秘办 / 证券事务代表 / 财务负责人 / 管理层,西安炬光科技股份有限公司独立董事候选人声明与承诺（司毅）,https://static.cninfo.com.cn/finalpage/2026-06-11/1225363556.PDF,1225363556,是,2183,西安炬光科技股份有限公司独立董事候选人声明与承诺本人司毅，已充分了解并同意由提名人刘兴胜先生提名本人为西安炬光科技股份有限公司第四届董事会独立董事候选人。本人公开声明，本人具备独立
2026-06-11,688167,炬光科技,治理关系,章程治理,数字异常事项、关联交易/复杂交易,必须精读,77,PDF正文数字已核验,12.88%、1%、5%,更新关键联系人，关注治理结构、章程制度和后续资本市场沟通口径。,董秘办 / 证券事务代表 / 财务负责人 / 管理层,西安炬光科技股份有限公司独立董事提名人声明与承诺（司毅）,https://static.cninfo.com.cn/finalpage/2026-06-11/1225363557.PDF,1225363557,是,2068,西安炬光科技股份有限公司独立董事提名人声明与承诺提名人单独持有西安炬光科技股份有限公司12.88%股份的股东刘兴胜，现提名司毅为西安炬光科技股份有限公司第四届董事会独立董事候选人，
2026-06-11,688550,瑞联新材,资本运作,募投/补流,数字异常事项、关联交易/复杂交易,必须精读,77,PDF正文数字已核验,"20日、1,755万股、人民币1.00元、人民币113.72元、26日、1,995,786,000元、人民币151,750,132.76元、人民币1,844,035,867.24元",跟踪审批节点、交易作价、资金用途、募投变化和投行协同机会。,董秘办 / 财务负责人 / 投融资负责人,关于新开立募集资金专户并签订募集资金专户存储四方监管协议的公告,https://static.cninfo.com.cn/finalpage/2026-06-11/1225363562.PDF,1225363562,是,3456,8550证券简称：瑞联新材公告编号：2026-039西安瑞联新材料股份有限公司关于新开立募集资金专户并签订募集资金专户存储四方监管协议的公告本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述或者重大遗漏，并对其内容的真实性、准确
2026-06-10,002864,盘龙药业,激励与员工,员工持股,数字异常事项、关联交易/复杂交易,必须精读,77,PDF正文数字已核验,0.35%、10%、1%、40%、30%,跟踪授予、归属、行权、员工账户、行权资金和股份支付费用。,董秘办 / 人力资源 / 财务负责人 / 激励对象服务团队,关于第一期员工持股计划非交易过户完成的公告,https://static.cninfo.com.cn/finalpage/2026-06-10/1225359617.PDF,1225359617,是,3297,864证券简称：盘龙药业公告编号：2026-037陕西盘龙药业集团股份有限公司关于第一期员工持股计划非交易过户完成的公告本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏。陕西盘龙药业集团股份有限公司（
2026-06-11,688783,西安奕材-U,风险沟通,异常波动,数字异常事项、关联交易/复杂交易,必须精读,77,PDF正文数字已核验,"9日、10日、30%、264,922.46万元、73,817.08万元、80,933.75万元、72,327.80万元、15,832.42万元",跟踪监管进展、交易风险、诉讼债务、非标意见和客户风险沟通。,董秘办 / 合规风控 / 控股股东 / 财务负责人,股票交易异常波动公告,https://static.cninfo.com.cn/finalpage/2026-06-11/1225364049.PDF,1225364049,是,2185,783证券简称：西安奕材公告编号：2026-021西安奕斯伟材料科技股份有限公司股票交易异常波动公告重要内容提示：西安奕斯伟材料科技股份有限公司（简称“公司”）股票交易连续2个交易日内（2026年6月9日、2026年6月10日）收盘价格涨幅偏
2026-06-11,688167,炬光科技,治理关系,章程治理,数字异常事项、关联交易/复杂交易,必须精读,67,PDF正文数字已核验,5%,更新关键联系人，关注治理结构、章程制度和后续资本市场沟通口径。,董秘办 / 证券事务代表 / 财务负责人 / 管理层,西安炬光科技股份有限公司第四届董事会提名委员会关于公司董事会独立董事候选人的审查意见,https://static.cninfo.com.cn/finalpage/2026-06-11/1225363560.PDF,1225363560,是,810,1西安炬光科技股份有限公司第四届董事会提名委员会关于公司董事会独立董事候选人的审查意见根据《中华人民共和国公司法》（以下简称“《公司法》”）、《上市公司独立董事管理办法》《上海证券交易所科创板上市公司自律监管指引1号—
2026-06-11,001299,美能能源,资本运作,募投/补流,数字异常事项、关联交易/复杂交易,必须精读,67,PDF正文数字已核验,90%,跟踪审批节点、交易作价、资金用途、募投变化和投行协同机会。,董秘办 / 财务负责人 / 投融资负责人,关于签署募集资金三方监管协议之补充协议的公告,https://static.cninfo.com.cn/finalpage/2026-06-11/1225362765.PDF,1225362765,是,1834,99证券简称：美能能源公告编号：2026-038陕西美能清洁能源集团股份有限公司关于签署募集资金三方监管协议之补充协议的公告一、募集资金基本情况经中国证券监督管理委员会《关于核准陕西美能清洁能源集团股份有限公司首次公开发行股票的批复》（证监许可
2026-06-11,002673,西部证券,未归类,,未覆盖高价值事项、数字异常事项、低价值固定披露,必须精读,41,PDF正文数字已核验,10日、26日、22日、5%、25日,保留底稿，结合公告原文判断是否进入正式早报。,董秘办,关于召开2026年第一次临时股东会的通知,https://static.cninfo.com.cn/finalpage/2026-06-11/1225363818.PDF,1225363818,是,3287,"次临时股东会。2.召集人：西部证券股份有限公司（以下简称“公司”）董事会。2026年6月10日，公司第七届董事会第五次会议审议通过了《关于提请审议召开西部证券股份有限公司2026年第一次临时股东会的提案》。3.会议召开的合法、合规性：本次会议 / 规则及《公司章程》的规定。4.会议召开的日期、时间（1）现场会议召开时间：2026年6月26日14:30（2）网络投票时间：2026年6月26日其中，通过深圳证券交易所交易系统进行投票的具体时间为：2026年6月26日9:15-9:25,9:"
