date,code,company,businessViews,secondaryTags,fallbackFlags,readDecision,score,evidenceLevel,numbers,businessAction,followTarget,title,url,announcementId,hasText,textChars,evidenceSnippet
2026-07-15,688101,三达膜,股东服务、治理关系,减持、董监高变动,数字异常事项、关联交易/复杂交易,必须精读,100,PDF正文数字已核验,"0.27%、0.07%、5%、880,000股、220,000股、18.21元/股、3,895,803.12元、660,000股",跟踪开户、减持路径、质押风险、股东资金安排和财富管理触达。,控股股东 / 5%以上股东 / 董秘办,关于董事、高级管理人员集中竞价减持股份结果公告,https://static.cninfo.com.cn/finalpage/2026-07-15/1225425009.PDF,1225425009,是,1298,三达膜公告编号：2026-037三达膜环境技术股份有限公司关于董事、高级管理人员集中竞价减持股份结果公告本公司董事会、全体董事及相关股东保证本公告内容不存在任何虚假记载、误导性陈述或者重大遗漏，并对其内容的真实性、准确性和完整性依法承担法律 / 88101证券简称：三达膜公告编号：2026-037三达膜环境技术股份有限公司关于董事、高级管理人员集中竞价减持股份结果公告本公司董事会、全体董事及相关股东保证本公告内容不存在任何虚假记载、误导性陈述或者重大遗漏，并对其内容的真实性、准确性和完整性
2026-07-15,002864,盘龙药业,股东服务、激励与员工,权益变动、作废/回购注销,数字异常事项、关联交易/复杂交易,必须精读,100,PDF正文数字已核验,1%、5%、34.99%、35.37%、1.06%、0.3748%、8.75%、8.84%,跟踪开户、减持路径、质押风险、股东资金安排和财富管理触达。,控股股东 / 5%以上股东 / 董秘办,关于控股股东、实际控制人持股比例因公司回购注销被动增加触及1%及5%整数倍的公告,https://static.cninfo.com.cn/finalpage/2026-07-15/1225424982.PDF,1225424982,是,1882,：盘龙药业公告编号：2026-041陕西盘龙药业集团股份有限公司关于控股股东、实际控制人持股比例因公司回购注销被动增加触及1%及5%整数倍的公告本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏。陕西盘 / 编号：2026-041陕西盘龙药业集团股份有限公司关于控股股东、实际控制人持股比例因公司回购注销被动增加触及1%及5%整数倍的公告本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏。陕西盘龙药业集团股份
2026-07-15,300140,节能环境,资本运作、股东服务、激励与员工,定增/再融资、并购重组、限售解禁、授予/归属,数字异常事项、关联交易/复杂交易,必须精读,100,PDF正文数字已核验,66.96%,跟踪审批节点、交易作价、资金用途、募投变化和投行协同机会。,董秘办 / 财务负责人 / 投融资负责人,2026-038 关于向特定对象发行股份购买资产的部分限售股份解除限售的提示性公告,https://static.cninfo.com.cn/finalpage/2026-07-15/1225426401.PDF,1225426401,是,6769,码：300140证券简称：节能环境公告编号：2026-38中节能环境保护股份有限公司关于向特定对象发行股份购买资产的部分限售股份解除限售上市流通的提示性公告本公司及董事会全体成员保证信息披露内容的真实、准确和完整，没有虚假记载、误导性陈述或重大遗漏。 / 券简称：节能环境公告编号：2026-38中节能环境保护股份有限公司关于向特定对象发行股份购买资产的部分限售股份解除限售上市流通的提示性公告本公司及董事会全体成员保证信息披露内容的真实、准确和完整，没有虚假记载、误导性陈述或重大遗漏。特别提示：1
2026-07-15,300775,三角防务,资本运作、资金与财务,募投/补流、现金管理,常规底稿,必须精读,89,PDF正文数字已核验,0.75%、1.85%、1.90%、3.25%、2.90%、2.25%、2.75%、2.40%,跟踪审批节点、交易作价、资金用途、募投变化和投行协同机会。,董秘办 / 财务负责人 / 投融资负责人,关于使用部分闲置募集资金进行现金管理到期赎回并继续进行现金管理的进展公告,https://static.cninfo.com.cn/finalpage/2026-07-15/1225425886.PDF,1225425886,是,5308,-056债券代码：123114债券简称：三角转债西安三角防务股份有限公司关于使用部分闲置募集资金进行现金管理到期赎回并继续进行现金管理的进展公告本公司及董事会全体成员保证信息披露内容的真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏。西安三 / 代码：123114债券简称：三角转债西安三角防务股份有限公司关于使用部分闲置募集资金进行现金管理到期赎回并继续进行现金管理的进展公告本公司及董事会全体成员保证信息披露内容的真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏。西安三角防务股份有
2026-07-16,688167,炬光科技,激励与员工,股权激励、授予/归属,数字异常事项、关联交易/复杂交易,必须精读,85,PDF正文数字已核验,1%、20.00%、50%,跟踪授予、归属、行权、员工账户、行权资金和股份支付费用。,董秘办 / 人力资源 / 财务负责人 / 激励对象服务团队,西安炬光科技股份有限公司关于向2025年限制性股票激励计划激励对象授予剩余预留部分限制性股票的公告,https://static.cninfo.com.cn/finalpage/2026-07-16/1225426653.PDF,1225426653,是,7632,67证券简称：炬光科技公告编号：2026-057西安炬光科技股份有限公司关于向2025年限制性股票激励计划激励对象授予剩余预留部分限制性股票的公告本公司董事会及全体董事保证公告内容不存在任何虚假记载、误导性陈述或者重大遗漏，并对其内容的真实性、准 / 编号：2026-057西安炬光科技股份有限公司关于向2025年限制性股票激励计划激励对象授予剩余预留部分限制性股票的公告本公司董事会及全体董事保证公告内容不存在任何虚假记载、误导性陈述或者重大遗漏，并对其内容的真实性、准确性和完整性依法承担
2026-07-15,300140,节能环境,资本运作、股东服务、激励与员工、资金与财务,并购重组、限售解禁、授予/归属、关联资金,关联交易/复杂交易,必须精读,83,PDF正文已命中,,跟踪审批节点、交易作价、资金用途、募投变化和投行协同机会。,董秘办 / 财务负责人 / 投融资负责人,中信证券股份有限公司关于中节能环境保护股份有限公司发行股份及支付现金购买资产并募集配套资金暨关联交易之部分限售股份解除限售上市流通的核查意见,https://static.cninfo.com.cn/finalpage/2026-07-15/1225426402.PDF,1225426402,是,6606,1中信证券股份有限公司关于中节能环境保护股份有限公司发行股份及支付现金购买资产并募集配套资金暨关联交易之部分限售股份解除限售上市流通的核查意见中信证券股份有限公司（以下简称“中信证券”、“独立财务顾问”）作为中节能环境保护股份 / 节能环境保护股份有限公司发行股份及支付现金购买资产并募集配套资金暨关联交易之部分限售股份解除限售上市流通的核查意见中信证券股份有限公司（以下简称“中信证券”、“独立财务顾问”）作为中节能环境保护股份有限公司（以下简称“节能环境”、“公司”、“上
2026-07-15,000564,供销大集,股东服务、资金与财务,增持、授信/贷款,关联交易/复杂交易,必须精读,81,PDF正文数字已核验,1.85%,跟踪开户、减持路径、质押风险、股东资金安排和财富管理触达。,控股股东 / 5%以上股东 / 董秘办,关于股东获得增持贷款承诺函的公告,https://static.cninfo.com.cn/finalpage/2026-07-15/1225424577.PDF,1225424577,是,808,0564股票简称：供销大集公告编号：2026-044供销大集集团股份有限公司关于股东获得增持贷款承诺函的公告本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏。一、增持计划的基本情况供销大集集团股份 / 64股票简称：供销大集公告编号：2026-044供销大集集团股份有限公司关于股东获得增持贷款承诺函的公告本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏。一、增持计划的基本情况供销大集集团股份有限
2026-07-16,601179,中国西电,资金与财务,关联资金,数字异常事项、关联交易/复杂交易,必须精读,77,PDF正文数字已核验,55%、45%、5%,跟踪现金管理、融资安排、担保敞口、授信和资金沉淀机会。,财务负责人 / 资金部 / 董秘办,中国西电关于对外股权投资暨关联交易的公告,https://static.cninfo.com.cn/finalpage/2026-07-16/1225426363.PDF,1225426363,是,4450,9证券简称：中国西电公告编号：2026-028中国西电电气股份有限公司关于对外股权投资暨关联交易的公告本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。重要内容提示：
2026-07-16,601179,中国西电,资金与财务,关联资金,数字异常事项、关联交易/复杂交易,必须精读,77,PDF正文数字已核验,"10日、15日、9,550万元、5,740万元、16日",跟踪现金管理、融资安排、担保敞口、授信和资金沉淀机会。,财务负责人 / 资金部 / 董秘办,中国西电第五届董事会第十一次会议决议公告,https://static.cninfo.com.cn/finalpage/2026-07-16/1225426373.PDF,1225426373,是,1118,见公司同日在上海证券交易所网站（www.sse.com.cn）披露的《关于对外股权投资暨关联交易的公告》（公告编号：2026-028）。二、审议通过了关于西电套管重庆高压套管智慧工厂项目的议案表决结果：同意7票、反对0票、弃权0票，审议通过。同
2026-07-16,688167,炬光科技,激励与员工,股权激励,数字异常事项、关联交易/复杂交易,必须精读,77,PDF正文数字已核验,19.00%、22.80%、16.00%、19.20%、14.00%、16.80%、100%、80%,跟踪授予、归属、行权、员工账户、行权资金和股份支付费用。,董秘办 / 人力资源 / 财务负责人 / 激励对象服务团队,西安炬光科技股份有限公司2026年限制性股票激励计划实施考核管理办法,https://static.cninfo.com.cn/finalpage/2026-07-16/1225426663.PDF,1225426663,是,3874,西安炬光科技股份有限公司2026年限制性股票激励计划实施考核管理办法1西安炬光科技股份有限公司2026年限制性股票激励计划实施考核管理办法西安炬光科技股份有限公司（以下简称“公司”）为了进一步
