date,code,company,market,category,level,score,matched,numbers,attention,title,url,announcementId,hasText,textChars
2026-06-05,600665,天地源,SH,股东变动,高,100,质押、解除质押,"497,000,938股、57.52%、3日、20,000,000股、177,000,000股",开户、减持服务、股东关系维护、质押风险和财富管理触达。,天地源股份有限公司关于控股股东部分股份解除质押及再质押的公告,https://static.cninfo.com.cn/finalpage/2026-06-05/1225351430.PDF,1225351430,是,1708
2026-06-05,688550,瑞联新材,SH,股东变动,高,100,减持、持股,"5%、11,075,309股、6.3708%、1,549,147股、0.8911%",开户、减持服务、股东关系维护、质押风险和财富管理触达。,持股5%以上股东、董事及高级管理人员减持股份计划公告,https://static.cninfo.com.cn/finalpage/2026-06-05/1225352834.PDF,1225352834,是,7599
2026-06-04,300164,通源石油,SZ,股东变动,高,100,减持,"3日、3个月、不超过904,045股、0.15%、4日",开户、减持服务、股东关系维护、质押风险和财富管理触达。,关于董事股份减持计划期限届满暨实施结果的公告,https://static.cninfo.com.cn/finalpage/2026-06-04/1225351863.PDF,1225351863,是,1322
2026-06-04,601012,隆基绿能,SH,股东变动,高,100,质押,"1股、601012股、1,067,218,173股、2日、14.08%",开户、减持服务、股东关系维护、质押风险和财富管理触达。,关于控股股东股份质押的公告,https://static.cninfo.com.cn/finalpage/2026-06-04/1225348192.PDF,1225348192,是,1542
2026-06-05,688150,莱特光电,SH,资本运作,高,100,可转换公司债券,"21日、13日、40243.7585万元、40,243.7585万股、1元",投行、再融资、并购整合、资金用途和综合金融服务。,中汇会计师事务所（特殊普通合伙）关于陕西莱特光电材料股份有限公司向不特定对象发行可转换公司债券的财务报告及审计报告,https://static.cninfo.com.cn/finalpage/2026-06-05/1225352748.PDF,1225352748,是,298549
2026-06-05,688150,莱特光电,SH,风险监管,高,100,问询,31日、24日、8日、28日,客户风险沟通、合规整改、交易波动和后续披露跟踪。,中汇会计师事务所（特殊普通合伙）关于上海证券交易所《关于对陕西莱特光电材料股份有限公司向不特定对象发行可转换公司债券申请文件的审核问询函》有关财务问题回复的专项说明（豁免版）,https://static.cninfo.com.cn/finalpage/2026-06-05/1225352746.PDF,1225352746,是,85068
2026-06-05,688150,莱特光电,SH,风险监管,高,92,问询,23日、29日,客户风险沟通、合规整改、交易波动和后续披露跟踪。,陕西莱特光电材料股份有限公司关于向不特定对象发行可转换公司债券的审核问询函回复及募集说明书等申请文件更新的提示性公告,https://static.cninfo.com.cn/finalpage/2026-06-05/1225352749.PDF,1225352749,是,1171
2026-06-05,688150,莱特光电,SH,资本运作,高,88,可转换公司债券,688150股,投行、再融资、并购整合、资金用途和综合金融服务。,陕西莱特光电材料股份有限公司向不特定对象发行可转换公司债券的证券募集说明书（申报稿）,https://static.cninfo.com.cn/finalpage/2026-06-05/1225352745.PDF,1225352745,是,315992
2026-06-05,688150,莱特光电,SH,风险监管,高,88,问询,29日,客户风险沟通、合规整改、交易波动和后续披露跟踪。,关于陕西莱特光电材料股份有限公司向不特定对象发行可转换公司债券申请文件的审核问询函的回复报告（豁免版）,https://static.cninfo.com.cn/finalpage/2026-06-05/1225352750.PDF,1225352750,是,152808
2026-06-05,688150,莱特光电,SH,资本运作,高,84,可转换公司债券、上市,,投行、再融资、并购整合、资金用途和综合金融服务。,中信证券股份有限公司关于陕西莱特光电材料股份有限公司向不特定对象发行可转换公司债券之上市保荐书,https://static.cninfo.com.cn/finalpage/2026-06-05/1225352747.PDF,1225352747,是,30407
